pred,label,max_prob,length_tokens,latency_s_per_sample,precision,batch_size,seq_len,repeat_id
1,1,0.526177883,13,0.0107304,fp32_strict,1,128,1
1,0,0.527894855,10,0.0121191,fp32_strict,1,128,1
1,1,0.525993526,24,0.010569,fp32_strict,1,128,1
1,1,0.526922882,27,0.0107798,fp32_strict,1,128,1
1,0,0.527820587,13,0.0105624,fp32_strict,1,128,1
1,1,0.527035117,26,0.010503,fp32_strict,1,128,1
1,0,0.52741611,8,0.0107302,fp32_strict,1,128,1
1,0,0.527631462,16,0.0107711,fp32_strict,1,128,1
1,1,0.521685839,26,0.01057,fp32_strict,1,128,1
1,0,0.527687311,39,0.0108514,fp32_strict,1,128,1
1,1,0.525103509,21,0.0106262,fp32_strict,1,128,1
1,0,0.526304483,45,0.01045,fp32_strict,1,128,1
1,0,0.528429151,22,0.0106506,fp32_strict,1,128,1
1,1,0.5247823,29,0.010783,fp32_strict,1,128,1
1,0,0.523458719,30,0.0101928,fp32_strict,1,128,1
1,1,0.527351081,29,0.0101216,fp32_strict,1,128,1
1,1,0.526352823,22,0.0103102,fp32_strict,1,128,1
1,1,0.526622891,48,0.0101524,fp32_strict,1,128,1
1,0,0.528336227,13,0.0101031,fp32_strict,1,128,1
1,0,0.525178134,22,0.0115786,fp32_strict,1,128,1
1,0,0.523943782,37,0.0096501,fp32_strict,1,128,1
1,0,0.525310993,18,0.0098013,fp32_strict,1,128,1
1,0,0.52445209,11,0.0096114,fp32_strict,1,128,1
1,1,0.527612388,21,0.0095099,fp32_strict,1,128,1
1,1,0.524151742,20,0.0095893,fp32_strict,1,128,1
1,0,0.52331847,36,0.0115798,fp32_strict,1,128,1
1,0,0.523967385,35,0.0094177,fp32_strict,1,128,1
1,1,0.524192512,29,0.0094363,fp32_strict,1,128,1
1,0,0.528480411,21,0.0093959,fp32_strict,1,128,1
1,0,0.526717663,14,0.0095505,fp32_strict,1,128,1
1,1,0.526393473,39,0.0093886,fp32_strict,1,128,1
1,0,0.525018573,32,0.0093889,fp32_strict,1,128,1
1,1,0.528269172,12,0.0093908,fp32_strict,1,128,1
1,0,0.525604129,39,0.0094458,fp32_strict,1,128,1
1,0,0.523334324,25,0.0094568,fp32_strict,1,128,1
1,0,0.526528418,15,0.0094297,fp32_strict,1,128,1
1,1,0.526037693,32,0.009551,fp32_strict,1,128,1
1,0,0.525035679,38,0.0094764,fp32_strict,1,128,1
1,1,0.527394533,28,0.0098638,fp32_strict,1,128,1
1,1,0.528210163,25,0.0096219,fp32_strict,1,128,1
1,1,0.525933206,24,0.0125888,fp32_strict,1,128,1
1,1,0.526732028,26,0.0094875,fp32_strict,1,128,1
1,1,0.523418725,25,0.0107955,fp32_strict,1,128,1
1,1,0.526579857,15,0.0095337,fp32_strict,1,128,1
1,0,0.523911774,22,0.0094903,fp32_strict,1,128,1
1,0,0.526517987,20,0.0096278,fp32_strict,1,128,1
1,0,0.525445998,24,0.0094407,fp32_strict,1,128,1
1,1,0.526401937,18,0.009459,fp32_strict,1,128,1
1,1,0.524263382,16,0.0119624,fp32_strict,1,128,1
1,0,0.525930583,26,0.0118468,fp32_strict,1,128,1
1,0,0.527301371,43,0.0098187,fp32_strict,1,128,1
1,1,0.526582062,31,0.0097862,fp32_strict,1,128,1
1,1,0.52758038,23,0.0098949,fp32_strict,1,128,1
1,1,0.525376439,20,0.0101373,fp32_strict,1,128,1
1,0,0.524014294,27,0.0098489,fp32_strict,1,128,1
1,1,0.526648641,10,0.0098,fp32_strict,1,128,1
1,0,0.527174115,29,0.0118523,fp32_strict,1,128,1
1,0,0.527109623,15,0.009995,fp32_strict,1,128,1
1,0,0.525227547,16,0.009875,fp32_strict,1,128,1
1,0,0.526085675,37,0.0097509,fp32_strict,1,128,1
1,1,0.525130391,26,0.0105889,fp32_strict,1,128,1
1,0,0.527042031,37,0.0115681,fp32_strict,1,128,1
1,1,0.525991857,22,0.0098998,fp32_strict,1,128,1
1,1,0.5248276,32,0.0098826,fp32_strict,1,128,1
