task,model,seq_len,batch_size,precision,repeat_id,latency_ms_mean,latency_ms_std,throughput_sps,seconds_total,accuracy,emissions_gco2,samples_total
sst2,roberta-base,128,1,fp32_strict,1,10.04876867,0.796703385,99.51468018,1.6310609,50,4.64E-05,150
sst2,roberta-base,128,1,fp32_strict,2,10.37571733,1.004625001,96.37887847,1.6671223,50,4.59E-05,150
sst2,roberta-base,128,1,fp32_strict,3,10.41607533,1.020606076,96.00545004,1.6752679,50,4.63E-05,150
sst2,roberta-base,128,1,fp32_strict,4,10.24729933,1.041939361,97.58668771,1.6499291,50,4.72E-05,150
sst2,roberta-base,128,1,fp32_strict,5,10.18229267,0.954425511,98.20970902,1.6441219,50,4.59E-05,150
sst2,roberta-base,128,1,fp32_tf32,1,8.042660669,1.319390231,124.3369628,1.3105733,50,3.18E-05,150
sst2,roberta-base,128,1,fp32_tf32,2,8.480790665,1.639671248,117.9135342,1.3748251,50,3.12E-05,150
sst2,roberta-base,128,1,fp32_tf32,3,8.741600668,2.027070186,114.3955253,1.4136366,50,3.16E-05,150
sst2,roberta-base,128,1,fp32_tf32,4,8.472918001,1.8148273,118.0230943,1.3747474,50,2.99E-05,150
sst2,roberta-base,128,1,fp32_tf32,5,8.471359999,1.758221017,118.0448004,1.3756754,50,3.02E-05,150
sst2,roberta-base,128,1,fp16,1,11.45068933,1.916298059,87.33098689,1.8272244,50,3.70E-05,150
sst2,roberta-base,128,1,fp16,2,11.14409067,1.537519125,89.73365615,1.7830003,50,3.74E-05,150
sst2,roberta-base,128,1,fp16,3,11.255758,1.599028919,88.84341685,1.7996584,50,3.61E-05,150
sst2,roberta-base,128,1,fp16,4,12.46855867,2.976068653,80.20173195,1.9846837,50,3.78E-05,150
sst2,roberta-base,128,1,fp16,5,11.79362467,2.01170339,84.79157412,1.8770337,50,3.93E-05,150
sst2,roberta-base,128,1,bf16,1,11.14675533,2.343682523,89.71220504,1.7838451,50,3.56E-05,150
sst2,roberta-base,128,1,bf16,2,10.74686067,1.768064295,93.05042941,1.7156084,50,3.69E-05,150
sst2,roberta-base,128,1,bf16,3,11.433784,2.151135136,87.46010945,1.8228977,50,3.66E-05,150
sst2,roberta-base,128,1,bf16,4,11.340674,2.356275281,88.17818058,1.8082994,50,3.80E-05,150
sst2,roberta-base,128,1,bf16,5,10.92498067,2.271002212,91.53334275,1.7422048,50,3.43E-05,150
sst2,roberta-base,128,8,fp32_strict,1,6.666903784,0.144561181,149.994665,6.0388483,50.91743119,0.00018022,872
sst2,roberta-base,128,8,fp32_strict,2,6.678869839,0.142159289,149.7259303,6.0507339,50.91743119,0.000176639,872
sst2,roberta-base,128,8,fp32_strict,3,6.680909289,0.148986358,149.6802242,6.0505344,50.91743119,0.000179976,872
sst2,roberta-base,128,8,fp32_strict,4,6.691151032,0.149737161,149.4511176,6.0576604,50.91743119,0.000174574,872
sst2,roberta-base,128,8,fp32_strict,5,6.693264679,0.144854778,149.4039229,6.0561053,50.91743119,0.000177475,872
sst2,roberta-base,128,8,fp32_tf32,1,4.545481881,0.13227524,219.998677,4.17419,50.91743119,0.000109334,872
sst2,roberta-base,128,8,fp32_tf32,2,4.522783028,0.131862186,221.1028019,4.1594352,50.91743119,0.000110581,872
sst2,roberta-base,128,8,fp32_tf32,3,4.533270871,0.14606344,220.5912747,4.165959,50.91743119,0.00010863,872
sst2,roberta-base,128,8,fp32_tf32,4,4.604344954,0.168539821,217.18616,4.277436,50.91743119,0.000111399,872
sst2,roberta-base,128,8,fp32_tf32,5,4.597656537,0.173741732,217.5021105,4.2574309,50.91743119,0.000113274,872
sst2,roberta-base,128,8,fp16,1,3.603615941,0.186424871,277.49905,3.3820283,50.91743119,8.43E-05,872
sst2,roberta-base,128,8,fp16,2,3.52644094,0.119961661,283.5720254,3.2942703,50.91743119,8.62E-05,872
sst2,roberta-base,128,8,fp16,3,3.598864908,0.203135405,277.8653896,3.3729688,50.91743119,8.44E-05,872
sst2,roberta-base,128,8,fp16,4,3.61425539,0.217615957,276.6821633,3.4000171,50.91743119,8.40E-05,872
sst2,roberta-base,128,8,fp16,5,3.612868807,0.210219689,276.7883511,3.3931632,50.91743119,8.46E-05,872
sst2,roberta-base,128,8,bf16,1,3.372428555,0.181984821,296.5222194,3.1801813,50.91743119,8.07E-05,872
sst2,roberta-base,128,8,bf16,2,3.342268807,0.165984681,299.1979573,3.1401421,50.91743119,7.85E-05,872
sst2,roberta-base,128,8,bf16,3,3.385638188,0.162386354,295.3652885,3.1788746,50.91743119,7.93E-05,872
sst2,roberta-base,128,8,bf16,4,3.419007683,0.269531891,292.4825249,3.2191109,50.91743119,8.19E-05,872
sst2,roberta-base,128,8,bf16,5,3.379052523,0.210683033,295.940946,3.1793214,50.91743119,7.97E-05,872
